"id","segment_uid","free_flow_travel_time_seconds","true_driving_distance_meters","collected_at_utc","updated_at"
138338,"TAMBARAM_GUINDY_009",67.000,477.000,"2026-07-31 06:45:07.526913+00","2026-07-31 06:45:07.527165+00"
138337,"PUZHAL_CENTRAL_ATGRADE_003",528.000,3502.000,"2026-07-31 06:45:04.177917+00","2026-07-31 06:45:04.178161+00"
138336,"PALLAVARAM_THORAIPAKKAM_004",78.000,768.000,"2026-07-31 06:45:04.12527+00","2026-07-31 06:45:04.125652+00"
138335,"TAMBARAM_GUINDY_007",49.000,291.000,"2026-07-31 06:45:04.106024+00","2026-07-31 06:45:04.106276+00"
138334,"PUZHAL_CENTRAL_023",33.000,209.000,"2026-07-31 06:45:03.943743+00","2026-07-31 06:45:03.94406+00"
138333,"PALLAVARAM_THORAIPAKKAM_006",113.000,1131.000,"2026-07-31 06:45:03.922108+00","2026-07-31 06:45:03.922264+00"
138332,"THORAIPAKKAM_PALLAVARM_AT_GRADE_002",175.000,1507.000,"2026-07-31 06:45:03.919987+00","2026-07-31 06:45:03.920158+00"
138331,"THORAIPAKKAM_PALLAVARM_AT_GRADE_001",92.000,513.000,"2026-07-31 06:45:03.91445+00","2026-07-31 06:45:03.914638+00"
138330,"THORAIPAKKAM_PALLAVARM_004",140.000,1224.000,"2026-07-31 06:45:03.913818+00","2026-07-31 06:45:03.91396+00"
138329,"THORAIPAKKAM_PALLAVARM_010",55.000,539.000,"2026-07-31 06:45:03.913042+00","2026-07-31 06:45:03.913183+00"
138328,"THORAIPAKKAM_PALLAVARM_007",77.000,763.000,"2026-07-31 06:45:03.912151+00","2026-07-31 06:45:03.912299+00"
138327,"THORAIPAKKAM_PALLAVARM_005",114.000,1140.000,"2026-07-31 06:45:03.910722+00","2026-07-31 06:45:03.910872+00"
138326,"THORAIPAKKAM_PALLAVARM_009",108.000,1114.000,"2026-07-31 06:45:03.910354+00","2026-07-31 06:45:03.910501+00"
138325,"PALLAVARAM_THORAIPAKKAM_AT_GRADE_001",57.000,438.000,"2026-07-31 06:45:03.908635+00","2026-07-31 06:45:03.908858+00"
138324,"THORAIPAKKAM_PALLAVARM_003",99.000,1137.000,"2026-07-31 06:45:03.90805+00","2026-07-31 06:45:03.908189+00"
138323,"THORAIPAKKAM_PALLAVARM_008",184.000,1712.000,"2026-07-31 06:45:03.907431+00","2026-07-31 06:45:03.907574+00"
138322,"PALLAVARAM_THORAIPAKKAM_009",93.000,1136.000,"2026-07-31 06:45:03.903954+00","2026-07-31 06:45:03.904133+00"
138321,"THORAIPAKKAM_PALLAVARM_006",64.000,789.000,"2026-07-31 06:45:03.903294+00","2026-07-31 06:45:03.903456+00"
