segment_uid,Corridor_Name,Placement_Type,Shapefile_Name,Sequence_Order,Original_Shapefile_Row,Segment_Length_Meters,Start_Lat,Start_Lon,End_Lat,End_Lon,Midpoint_Lat,Midpoint_Lon,network_layer_type,nearest_signal_dist_meters,nearest_bus_stop_dist_meters,Google_Maps_Origin,Google_Maps_Destination,Google_Maps_Midpoint,Polyline_Geometry_String,Topology_Flipped_To_Fit,Continuity_Status,Validation_Checkpoint,attr_id,attr_Length,attr_Corridor,attr_S.no
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,1,0,285.9,12.96514494,80.14793373,12.96746861,80.14908817,12.96630945,80.14850548,At-Grade (Below Flyover),2599.43,3786.47,"12.965144935688812,80.14793372970996","12.967468608112,80.14908816671013","12.9663094525635,80.14850548242654","12.965144935688812,80.14793372970996|12.965362962083393,80.14803458213933|12.965843071346203,80.14826874525116|12.966477943819683,80.14859100933583|12.96699307047262,80.14885531225417|12.967468608112,80.14908816671013",FALSE,Continuous,CORRIDOR_START_NODE,,0.29,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,2,7,588.19,12.96746861,80.14908817,12.97225788,80.15143785,12.96988127,80.15022969,At-Grade (Below Flyover),2207.45,3412.15,"12.967468608112,80.14908816671013","12.972257883618745,80.15143784706582","12.969881270937329,80.15022968620032","12.967468608112,80.14908816671013|12.967537567222735,80.14912193361917|12.968852488071102,80.1497409588753|12.970345886310438,80.1504504035508|12.97156816170764,80.15103001521375|12.971898016885534,80.15121085405262|12.972049388635797,80.15129663657875|12.972257883618745,80.15143784706582",FALSE,Continuous,Intermediate,,0.59,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,3,8,223.28,12.97225788,80.15143785,12.97342683,80.15311061,12.97287963,80.15224697,At-Grade (Below Flyover),1840.82,3047.88,"12.972257883618745,80.15143784706582","12.973426826494403,80.15311061314411","12.972879634605727,80.15224696868094","12.972257883618745,80.15143784706582|12.97227531644992,80.15144965405776|12.97244137326244,80.15163628901328|12.972868375985573,80.15222865213288|12.973238896272958,80.15283144826242|12.973426826494403,80.15311061314411",FALSE,Continuous,Intermediate,,0.22,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,4,5,308.56,12.97342683,80.15311061,12.97497627,80.15547448,12.9742188,80.15428198,At-Grade (Below Flyover),1575.24,2782.29,"12.973426826494403,80.15311061314411","12.974976267574814,80.15547447744582","12.974218802397585,80.15428198184838","12.973426826494403,80.15311061314411|12.973885046185151,80.15379128517638|12.974354972339563,80.15448218227871|12.974705157117588,80.15502006190202|12.974847490144485,80.15523567744064|12.974942378783819,80.1553979687063|12.974976267574814,80.15547447744582",FALSE,Continuous,Intermediate,,0.31,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,5,1,601.95,12.97692995,80.1584047,12.98006729,80.16291216,12.97856081,80.16061594,At-Grade (Below Flyover),740.72,1946.41,"12.976929948567166,80.15840470420781","12.980067291749409,80.16291216021571","12.978560812373155,80.16061594403276","12.976929948567166,80.15840470420781|12.977101085546444,80.15854381100692|12.977289166645239,80.1588168081002|12.977690744731294,80.15939931782155|12.978007601244345,80.15989662462843|12.978315985270335,80.16027916832601|12.978793810313281,80.16093644795185|12.979108971009163,80.16135029067925|12.979530879057192,80.1619380169056|12.979783345779627,80.16230664992325|12.979981591281268,80.16267876061092|12.980067291749409,80.16291216021571",FALSE,Broken,Intermediate,,0.6,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,6,2,437.25,12.98006729,80.16291216,12.98154625,80.16661801,12.98059931,80.16484894,At-Grade (Below Flyover),229.47,1436.37,"12.980067291749409,80.16291216021571","12.981546246121544,80.16661800677424","12.980599309876501,80.16484894425354","12.980067291749409,80.16291216021571|12.980113754861199,80.16303869945365|12.980381470615443,80.16413764316674|12.980605131657414,80.16486795386214|12.98080507090335,80.16532700629928|12.98103889795304,80.16575128203658|12.981208337706667,80.16606079466469|12.981437081190828,80.16645377137219|12.981546246121544,80.16661800677424",FALSE,Broken,Intermediate,,0.44,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,7,3,710.1,12.98154625,80.16661801,12.98482415,80.17224409,12.98319627,80.16942476,At-Grade (Below Flyover),307.87,863.14,"12.981546246121544,80.16661800677424","12.984824154512728,80.17224409188587","12.983196268356757,80.16942476157976","12.981546246121544,80.16661800677424|12.981786126397987,80.16697889953886|12.982030118873055,80.16741013061619|12.98240627346948,80.16807436558202|12.982711263264846,80.16856123937895|12.983128082046536,80.16931241609423|12.983497457455773,80.16992100834042|12.983738059491271,80.1703383287378|12.98421248535757,80.1711260209879|12.984425976701898,80.17150160934551|12.984703854049908,80.17198326663751|12.984791961436837,80.17216584431135|12.984824154512728,80.17224409188587",FALSE,Broken,Intermediate,,0.71,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_008,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,8,4,420.49,12.8756337,80.07870008,12.87921213,80.07998409,12.8774227,80.0793315,At-Grade (Below Flyover),14920.09,13895.93,"12.875633704457828,80.07870007649024","12.879212134532327,80.07998409459658","12.877422697447331,80.07933149921024","12.875633704457828,80.07870007649024|12.875839768899272,80.07871633644721|12.87610697308756,80.07883015614603|12.876573447513215,80.07900436997072|12.877683019114706,80.079431774554|12.878747297463592,80.07979878501136|12.879212134532327,80.07998409459658",FALSE,Broken,Intermediate,,0.42,,
KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_009,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount(At-Grade_BelowFlyover).shp,9,6,743.16,12.87921213,80.07998409,12.88537403,80.08256414,12.88237361,80.08112358,At-Grade (Below Flyover),14374.99,13511.46,"12.879212134532327,80.07998409459658","12.885374026794798,80.08256413912221","12.88237361366271,80.08112357778684","12.879212134532327,80.07998409459658|12.879702879704428,80.08017973257472|12.88073997668567,80.08058390864801|12.88119738490711,80.08066288558192|12.88145552581199,80.08074186251577|12.88233637303775,80.08110887297312|12.882621685356865,80.08122153124648|12.883131170832772,80.08141897358114|12.88396219602995,80.08173720416758|12.884502247711415,80.0819718121182|12.884930212367873,80.08213905738992|12.88517476327182,80.08232488546963|12.885374026794798,80.08256413912221",FALSE,Broken,CORRIDOR_END_NODE,,0.74,,
KILAMBAKKAM_LITTLEMOUNT_001,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,1,25,1160.95,12.87558508,80.07872777,12.88537844,80.08256743,12.88050487,80.08059167,At-Grade (Ground),14570.36,13640.37,"12.875585076434607,80.07872777357368","12.88537844075999,80.08256742827867","12.880504870614962,80.08059167252695","12.875585076434607,80.07872777357368|12.87594,80.07886|12.87598,80.07888|12.87606,80.07891|12.87609,80.07892|12.8762,80.07896|12.87636,80.07902|12.87691,80.07924|12.87764,80.07951|12.87904,80.08003|12.8792,80.08009|12.87936,80.08016|12.88058,80.08062|12.88097,80.08077|12.88152,80.08099|12.88172,80.08107|12.88226,80.0813|12.88266,80.08146|12.88369,80.08189|12.88422,80.08208|12.88449,80.08218|12.88459,80.08222|12.8848,80.08233|12.88489,80.08236|12.88514,80.08248|12.88537844075999,80.08256742827867",FALSE,Continuous,CORRIDOR_START_NODE,,1.16,Kilambakkam-Littlemount,
