id,timestamp_utc,cycle_id,segment_uid,corridor_name,current_travel_time_seconds,true_driving_distance_meters,free_flow_travel_time_seconds,travel_time_index_tti,hour_of_day_utc,hour_of_day_ist,is_weekend,vehicle_mode,temporal_drift_seconds,api_response_status,api_latency_ms,retry_count
18881,2026-07-14 00:00:03.710632+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_008,Corridor_Littlemount_Kilambakkam,44,421,52,0.8462,0,5,0,DRIVE,1.27,OK,74.2,0
18882,2026-07-14 00:00:03.710988+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004,Corridor_Littlemount_Kilambakkam,26,310,33,0.7879,0,5,0,DRIVE,1.269,OK,75.9,0
18883,2026-07-14 00:00:03.711335+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_002,Corridor_Littlemount_Kilambakkam,42,640,49,0.8571,0,5,0,DRIVE,1.27,OK,74.9,0
18884,2026-07-14 00:00:03.712646+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003,Corridor_Littlemount_Kilambakkam,19,223,25,0.76,0,5,0,DRIVE,1.269,OK,77.8,0
18885,2026-07-14 00:00:03.712884+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007,Corridor_Littlemount_Kilambakkam,69,716,106,0.6509,0,5,0,DRIVE,1.27,OK,77.2,0
18886,2026-07-14 00:00:03.714562+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_003,Corridor_Littlemount_Kilambakkam,37,637,45,0.8222,0,5,0,DRIVE,1.271,OK,78,0
18887,2026-07-14 00:00:03.715104+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001,Corridor_Littlemount_Kilambakkam,26,289,34,0.7647,0,5,0,DRIVE,1.268,OK,80.7,0
18888,2026-07-14 00:00:03.715848+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_001,Corridor_Littlemount_Kilambakkam,76,1166,81,0.9383,0,5,0,DRIVE,1.27,OK,79.6,0
18889,2026-07-14 00:00:03.715578+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005,Corridor_Littlemount_Kilambakkam,92,602,88,1.0455,0,5,0,DRIVE,1.269,OK,80.3,0
18890,2026-07-14 00:00:03.719057+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002,Corridor_Littlemount_Kilambakkam,71,591,96,0.7396,0,5,0,DRIVE,1.269,OK,84.3,0
18891,2026-07-14 00:00:03.718653+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_010,Corridor_Littlemount_Kilambakkam,125,1141,174,0.7184,0,5,0,DRIVE,1.272,OK,80.9,0
18892,2026-07-14 00:00:03.718291+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_017,Corridor_Littlemount_Kilambakkam,31,386,38,0.8158,0,5,0,DRIVE,1.273,OK,79,0
18893,2026-07-14 00:00:03.72211+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_014,Corridor_Littlemount_Kilambakkam,50,664,89,0.5618,0,5,0,DRIVE,1.273,OK,83.4,0
18894,2026-07-14 00:00:03.724967+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_018,Corridor_Littlemount_Kilambakkam,108,1745,125,0.864,0,5,0,DRIVE,1.273,OK,85.5,0
18895,2026-07-14 00:00:03.722389+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_011,Corridor_Littlemount_Kilambakkam,55,774,84,0.6548,0,5,0,DRIVE,1.272,OK,84.2,0
18896,2026-07-14 00:00:03.722651+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_027,Corridor_Littlemount_Kilambakkam,53,695,70,0.7571,0,5,0,DRIVE,1.275,OK,81.5,0
18897,2026-07-14 00:00:03.72287+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_006,Corridor_Littlemount_Kilambakkam,368,3671,494,0.7449,0,5,0,DRIVE,1.269,OK,87.4,0
18898,2026-07-14 00:00:03.724143+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_013,Corridor_Littlemount_Kilambakkam,28,315,46,0.6087,0,5,0,DRIVE,1.273,OK,85.6,0
18899,2026-07-14 00:00:03.723214+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_021,Corridor_Littlemount_Kilambakkam,70,883,91,0.7692,0,5,0,DRIVE,1.274,OK,83.3,0
18900,2026-07-14 00:00:03.726358+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_020,Corridor_Littlemount_Kilambakkam,50,548,74,0.6757,0,5,0,DRIVE,1.274,OK,86.5,0
18901,2026-07-14 00:00:03.725583+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_025,Corridor_Littlemount_Kilambakkam,73,835,84,0.869,0,5,0,DRIVE,1.275,OK,84.7,0
18902,2026-07-14 00:00:03.7326+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_026,Corridor_Littlemount_Kilambakkam,80,980,90,0.8889,0,5,0,DRIVE,1.275,OK,91.6,0
18903,2026-07-14 00:00:03.724716+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_007,Corridor_Littlemount_Kilambakkam,50,668,70,0.7143,0,5,0,DRIVE,1.271,OK,87.5,0
18904,2026-07-14 00:00:03.725948+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_023,Corridor_Littlemount_Kilambakkam,31,395,52,0.5962,0,5,0,DRIVE,1.274,OK,85.5,0
18905,2026-07-14 00:00:03.733145+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_005,Corridor_Littlemount_Kilambakkam,82,943,101,0.8119,0,5,0,DRIVE,1.271,OK,96.3,0
18906,2026-07-14 00:00:03.732141+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_009,Corridor_Littlemount_Kilambakkam,393,3771,419,0.9379,0,5,0,DRIVE,1.27,OK,96.1,0
18907,2026-07-14 00:00:03.731813+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_006,Corridor_Littlemount_Kilambakkam,106,1376,138,0.7681,0,5,0,DRIVE,1.271,OK,94.7,0
18908,2026-07-14 00:00:03.732702+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_022,Corridor_Littlemount_Kilambakkam,43,470,57,0.7544,0,5,0,DRIVE,1.274,OK,92.6,0
18909,2026-07-14 00:00:03.733012+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_004,Corridor_Littlemount_Kilambakkam,61,1009,74,0.8243,0,5,0,DRIVE,1.271,OK,96.3,0
18910,2026-07-14 00:00:03.73446+00,2026-07-14T00:00:02Z_0001,LITTLEMOUNT_KILAMBAKKAM(AT_GRADE_BELOWFLYOVER)_002,Corridor_Littlemount_Kilambakkam,227,1127,197,1.1523,0,5,0,DRIVE,1.276,OK,92.5,0
18911,2026-07-14 00:00:03.732425+00,2026-07-14T00:00:02Z_0001,KILAMBAKKAM_LITTLEMOUNT_009,Corridor_Littlemount_Kilambakkam,66,521,86,0.7674,0,5,0,DRIVE,1.272,OK,94.8,0
18912,2026-07-14 00:00:03.733328+00,2026-07-14T00:00:02Z_0001,LITTLEMOUNT_KILAMBAKKAM_002,Corridor_Littlemount_Kilambakkam,28,363,41,0.6829,0,5,0,DRIVE,1.277,OK,90.2,0
