"id","timestamp_utc","cycle_id","segment_uid","corridor_name","current_travel_time_seconds","true_driving_distance_meters","free_flow_travel_time_seconds","travel_time_index_tti","hour_of_day_utc","hour_of_day_ist","is_weekend","vehicle_mode","temporal_drift_seconds","api_response_status","api_latency_ms","retry_count"
67261,"2026-07-18 00:00:03.980289+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_003","Corridor_Littlemount_Kilambakkam",38.000,637.000,45.000,0.8444,0,5,1,"DRIVE",1.197,"OK",74.1,0
67262,"2026-07-18 00:00:03.980638+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_004","Corridor_Littlemount_Kilambakkam",25.000,310.000,33.000,0.7576,0,5,1,"DRIVE",1.195,"OK",76.4,0
67263,"2026-07-18 00:00:03.981692+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_005","Corridor_Littlemount_Kilambakkam",82.000,602.000,88.000,0.9318,0,5,1,"DRIVE",1.195,"OK",76.5,0
67264,"2026-07-18 00:00:03.98194+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_009","Corridor_Littlemount_Kilambakkam",64.000,521.000,86.000,0.7442,0,5,1,"DRIVE",1.198,"OK",75.1,0
67265,"2026-07-18 00:00:03.983169+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_003","Corridor_Littlemount_Kilambakkam",19.000,223.000,25.000,0.7600,0,5,1,"DRIVE",1.195,"OK",79.1,0
67266,"2026-07-18 00:00:03.984264+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_001","Corridor_Littlemount_Kilambakkam",77.000,1166.000,81.000,0.9506,0,5,1,"DRIVE",1.196,"OK",78.9,0
67267,"2026-07-18 00:00:03.984641+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_002","Corridor_Littlemount_Kilambakkam",70.000,591.000,95.000,0.7368,0,5,1,"DRIVE",1.195,"OK",80.8,0
67268,"2026-07-18 00:00:03.986042+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_001","Corridor_Littlemount_Kilambakkam",26.000,289.000,34.000,0.7647,0,5,1,"DRIVE",1.195,"OK",82.5,0
67269,"2026-07-18 00:00:03.986929+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_018","Corridor_Littlemount_Kilambakkam",105.000,1745.000,124.000,0.8468,0,5,1,"DRIVE",1.200,"OK",78.3,0
67270,"2026-07-18 00:00:03.989851+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_023","Corridor_Littlemount_Kilambakkam",32.000,395.000,51.000,0.6275,0,5,1,"DRIVE",1.202,"OK",78.7,0
67271,"2026-07-18 00:00:03.992824+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_020","Corridor_Littlemount_Kilambakkam",46.000,548.000,73.000,0.6301,0,5,1,"DRIVE",1.200,"OK",83.9,0
67272,"2026-07-18 00:00:03.990769+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT(AT_GRADE_BELOWFLYOVER)_007","Corridor_Littlemount_Kilambakkam",68.000,716.000,106.000,0.6415,0,5,1,"DRIVE",1.196,"OK",85.9,0
67273,"2026-07-18 00:00:03.990163+00","2026-07-18T00:00:02Z_0001","KILAMBAKKAM_LITTLEMOUNT_011","Corridor_Littlemount_Kilambakkam",51.000,774.000,85.000,0.6000,0,5,1,"DRIVE",1.198,"OK",82.8,0
